Product;Type;Release Date;Process Size (nm);TDP (W);Die Size (mm^2);Transistors (million);Freq (MHz);Foundry;Vendor;FP16 GFLOPS;FP32 GFLOPS;FP64 GFLOPS
ATI All-In-Wonder X800 VE;GPU;2005-04-27;1300;;2810;1600;4250;TSMC;ATI;;;
NVIDIA Tesla D870;GPU;2007-05-02;900;5200;4840;6810;6000;TSMC;NVIDIA;;345.6;
NVIDIA GeForce GTX 470M;GPU;2010-09-03;400;750;3320;19500;5350;TSMC;NVIDIA;;616.3;51.36
NVIDIA Quadro P1000;GPU;2017-02-07;140;470;1320;33000;12660;Samsung;NVIDIA;29.6;1894.0;59.2
NVIDIA GeForce GT 710;GPU;2016-01-26;400;290;790;2920;8100;TSMC;NVIDIA;;155.5;12.96
NVIDIA GeForce4 MX 420;GPU;2002-02-06;1500;;650;290;2500;TSMC;NVIDIA;;;
NVIDIA GeForce GT 555M;GPU;2011-10-27;400;350;2380;11700;5250;TSMC;NVIDIA;;302.4;25.2
NVIDIA GeForce4 488 Go;GPU;2002-03-01;1500;;650;290;3000;TSMC;NVIDIA;;;
ATI Radeon 7500 LE;GPU;2001-08-14;1500;230;830;600;2500;TSMC;ATI;;;
NVIDIA GeForce GT 620M;GPU;2012-08-23;400;150;1160;5850;6600;TSMC;NVIDIA;;253.4;21.12
NVIDIA CMP 30HX;GPU;2021-02-25;120;1250;2840;66000;15300;TSMC;NVIDIA;10050.0;5027.0;157.1
AMD Radeon R7 M270DX;GPU;2014-01-07;280;;560;6900;7800;TSMC;AMD;;547.2;34.2
NVIDIA GeForce Go 7900 GTX;GPU;2006-04-18;900;450;1960;2780;5000;TSMC;NVIDIA;;;
NVIDIA GeForce GT 635M;GPU;2012-03-22;400;350;2380;11700;6750;TSMC;NVIDIA;;388.8;32.4
NVIDIA NVS 5200M;GPU;2012-09-17;400;250;1160;5850;6720;TSMC;NVIDIA;;258.0;21.5
NVIDIA GeForce GTX 850M;GPU;2014-03-12;280;450;1480;18700;9020;TSMC;NVIDIA;;1155.0;36.08
NVIDIA GRID M6-8Q;GPU;2015-08-30;280;1000;3980;52000;7220;TSMC;NVIDIA;;2218.0;69.31
NVIDIA GeForce GTX 1060 6 GB;GPU;2016-07-19;160;1200;2000;44000;15060;TSMC;NVIDIA;68.36;4375.0;136.7
NVIDIA GeForce GTX 745 OEM;GPU;2014-02-18;280;550;1480;18700;10330;TSMC;NVIDIA;;793.3;24.79
AMD Radeon Pro WX 7130 Mobile;GPU;2017-03-01;140;1300;2320;57000;11880;GF;AMD;;5728.0;358.0
Matrox Parhelia DL256;GPU;2001-01-01;1500;;1740;800;2000;UMC;Other;;;
NVIDIA Quadro FX 4000 SDI;GPU;2004-04-19;1300;1500;2250;2220;4250;TSMC;NVIDIA;;;
NVIDIA GeForce 8400 GS Rev. 3;GPU;2010-07-12;400;250;570;2600;5200;TSMC;NVIDIA;;19.68;
ATI Radeon X1950 XTX Uber Edition;GPU;2007-01-19;900;1250;3520;3840;6700;TSMC;ATI;;;
ATI Radeon X1650 XT AGP;GPU;2006-10-30;800;550;2300;3300;5400;TSMC;ATI;;;
AMD Radeon Pro V5300X;GPU;NaT;140;500;1230;30000;11250;GF;AMD;;2460.0;153.7
Intel HD Graphics 4000;GPU;2012-05-14;220;450;1330;12000;6500;Intel;Intel;;256.0;64.0
NVIDIA GeForce3 Ti200;GPU;2001-10-01;1500;;1280;570;1750;TSMC;NVIDIA;;;
NVIDIA GeForce GTX 580 Rev. 2;GPU;2011-06-06;400;2440;5200;30000;7720;TSMC;NVIDIA;;1581.0;197.6
Intel Extreme Graphics 2;GPU;2003-12-03;1300;;;;2000;Intel;Intel;;;
Intel UHD Graphics 620;GPU;2017-09-01;140;150;;;3000;Intel;Intel;768.0;384.0;96.0
NVIDIA GeForce 6610 XL;GPU;2004-11-14;1100;;1540;1460;4000;TSMC;NVIDIA;;;
NVIDIA GeForce 9600 GT Green Edition;GPU;2008-02-21;650;950;2400;5050;6000;TSMC;NVIDIA;;192.0;
ATI Mobility Radeon 9800;GPU;2004-07-01;1300;;2810;1600;3500;TSMC;ATI;;;
NVIDIA GeForce GT 530 OEM;GPU;2011-05-14;400;500;1160;5850;7000;TSMC;NVIDIA;;268.8;22.4
NVIDIA GeForce GTX 550 Ti;GPU;2011-03-15;400;1160;2380;11700;9000;TSMC;NVIDIA;;691.2;57.6
AMD Radeon Pro W5500M;GPU;2020-02-10;70;850;1580;64000;10000;TSMC;AMD;9574.0;4787.0;299.2
NVIDIA GeForce GT 640 OEM;GPU;2012-04-24;280;500;1180;12700;7970;TSMC;NVIDIA;;612.1;25.5
AMD Radeon R5 Graphics;GPU;2014-09-17;280;150;2450;24100;7580;GF;AMD;;388.1;24.26
AMD Radeon HD 7540D IGP;GPU;2012-10-02;320;650;2460;13030;7600;TSMC;AMD;;291.8;
NVIDIA GeForce GTX 675MX Mac Edition;GPU;2013-04-01;280;1000;2940;35400;7190;TSMC;NVIDIA;;1933.0;80.53
ATI Radeon X550;GPU;2005-07-01;1100;;740;1070;4000;TSMC;ATI;;;
Intel HD Graphics;GPU;2010-01-10;450;350;1140;1770;1330;Intel;Intel;;96.0;
NVIDIA GeForce GT 745A;GPU;2013-08-26;280;330;1180;12700;8370;TSMC;NVIDIA;;702.7;29.28
AMD Radeon HD 7970M;GPU;2012-04-24;280;1000;2120;28000;8500;TSMC;AMD;;2176.0;136.0
NVIDIA GeForce 920M;GPU;2015-03-13;280;330;870;10200;9540;TSMC;NVIDIA;;732.7;30.53
NVIDIA GeForce G110M;GPU;2009-01-08;550;140;1210;3140;4000;TSMC;NVIDIA;;32.0;
NVIDIA GeForce RTX 2060 TU104;GPU;2020-01-10;120;1600;5450;136000;13650;TSMC;NVIDIA;12900.0;6451.0;201.6
AMD Radeon R5 M445;GPU;2016-01-01;280;;1250;15500;9200;TSMC;AMD;;706.6;
AMD Radeon Pro WX 7100 Mobile;GPU;2017-03-01;140;1300;2320;57000;11880;GF;AMD;;5728.0;358.0
NVIDIA GeForce GT 720M;GPU;2013-04-01;280;330;1160;5850;7750;TSMC;NVIDIA;;240.0;20.0
ATI FirePro M7740;GPU;2009-08-04;400;600;1370;8260;6500;TSMC;ATI;;832.0;166.4
AMD Radeon R7 Mobile Graphics;GPU;2014-02-17;280;900;2450;24100;5540;GF;AMD;;425.5;26.59
ATI Radeon X850 PRO;GPU;2004-12-01;1300;;2970;1600;5070;TSMC;ATI;;;
AMD Radeon HD 8730A;GPU;2013-04-01;280;;770;9500;6500;TSMC;AMD;;537.6;33.6
AMD Radeon HD 6570M Mac Edition;GPU;2009-10-28;400;300;1040;6270;6000;TSMC;AMD;;480.0;
NVIDIA GeForce GT 720 OEM;GPU;2017-10-29;280;500;1180;12700;9930;TSMC;NVIDIA;;381.3;15.89
ATI Mobility FireGL V5000;GPU;2005-02-03;1100;;1560;1200;3500;TSMC;ATI;;;
NVIDIA RTX A4 Mobile;GPU;2021-01-01;80;;;;12370;Samsung;NVIDIA;6144.0;6144.0;96.0
ATI Radeon 7000 Mac Edition PCI;GPU;2004-03-14;1800;230;800;300;1830;TSMC;ATI;;;
XGI Volari V8 Ultra;GPU;2003-09-15;1300;;;1100;3500;UMC;Other;;;
NVIDIA GeForce Go 7600 GT;GPU;2006-08-01;900;;1250;1770;5000;TSMC;NVIDIA;;;
NVIDIA GeForce MX250;GPU;NaT;140;100;740;18000;9370;Samsung;NVIDIA;12.46;797.2;24.91
AMD Radeon R5 M230;GPU;2014-01-07;280;;560;6900;7800;TSMC;AMD;;547.2;34.2
NVIDIA GeForce Go 6200 TE;GPU;2005-09-29;1100;;1540;1460;3000;TSMC;NVIDIA;;;
ATI Mobility Radeon HD 3450;GPU;2008-01-07;550;;670;1810;5000;TSMC;ATI;;40.0;
NVIDIA GeForce GT 415M;GPU;2010-09-03;400;120;1160;5850;5000;TSMC;NVIDIA;;96.0;8.0
Intel HD Graphics P4700;GPU;2013-06-01;220;860;;;3500;Intel;Intel;;416.0;104.0
NVIDIA GeForce 7900 GTO;GPU;2006-10-01;900;810;1960;2780;6500;TSMC;NVIDIA;;;
NVIDIA GeForce 8400;GPU;2007-12-04;650;250;860;2100;5400;TSMC;NVIDIA;;20.8;
AMD Radeon R7 250X;GPU;2014-02-13;280;800;1230;15000;9500;TSMC;AMD;;1216.0;76.0
NVIDIA GeForce GT 740M;GPU;2013-06-20;280;330;870;10200;9800;TSMC;NVIDIA;;752.6;31.36
NVIDIA GeForce 7600 GT;GPU;2006-03-09;900;400;1250;1770;5600;TSMC;NVIDIA;;;
NVIDIA Quadro P5200 Mobile;GPU;2018-02-21;160;1000;3140;72000;15570;TSMC;NVIDIA;139.8;8945.0;279.5
ATI Radeon X700;GPU;2004-09-01;1100;440;1560;1200;4000;TSMC;ATI;;;
NVIDIA GeForce 8800M GTS;GPU;2007-11-01;650;500;3240;7540;5000;TSMC;NVIDIA;;160.0;
NVIDIA Quadro K620M;GPU;2015-03-01;280;300;;;10290;TSMC;NVIDIA;;863.2;26.98
NVIDIA Tesla S1070;GPU;2008-06-01;550;8000;4700;14000;6100;TSMC;NVIDIA;;622.1;77.76
NVIDIA CMP 90HX;GPU;2021-01-01;80;3200;6280;283000;14400;Samsung;NVIDIA;29770.0;29770.0;465.1
ATI Xbox 360 GPU 90nm;GPU;2005-11-22;900;2030;1810;2320;5000;TSMC;ATI;;240.0;
NVIDIA GeForce GTX 950M;GPU;2015-03-13;280;750;1480;18700;9930;TSMC;NVIDIA;;1439.0;44.96
Intel GMA 3600;GPU;2008-10-01;650;130;;;4000;Intel;Intel;;25.6;
ATI FirePro V9800P;GPU;2010-09-09;400;2250;3340;21540;8500;TSMC;ATI;;2720.0;544.0
NVIDIA GeForce RTX 2070 SUPER Mobile;GPU;2020-04-02;120;1150;5450;136000;11400;TSMC;NVIDIA;14130.0;7066.0;220.8
NVIDIA GeForce GT 620;GPU;2012-05-15;400;490;1160;5850;7000;TSMC;NVIDIA;;268.8;22.4
ATI All-In-Wonder X1900;GPU;2006-01-13;900;;3520;3840;5000;TSMC;ATI;;;
AMD Radeon HD 6250 IGP;GPU;2012-04-04;400;90;750;4500;2770;TSMC;AMD;;44.32;
NVIDIA GeForce GT 220;GPU;2009-10-12;;580;1000;4860;6150;TSMC;NVIDIA;;127.7;
ATI Radeon HD 5490;GPU;2012-10-28;400;190;590;2920;6500;TSMC;ATI;;104.0;
NVIDIA GeForce GTX 960;GPU;2015-01-22;280;1200;2280;29400;11270;TSMC;NVIDIA;;2413.0;75.39
NVIDIA GeForce4 460 Go;GPU;2002-10-14;1500;;650;290;2500;TSMC;NVIDIA;;;
ATI Radeon 9800 PRO Mac Edition;GPU;2004-03-04;1500;600;2180;1170;3780;TSMC;ATI;;;
NVIDIA GeForce 9100;GPU;2007-04-17;800;400;1270;2100;5000;Unknown;NVIDIA;;38.4;
ATI Radeon IGP 350M;GPU;2002-10-05;1800;;730;300;1830;Unknown;ATI;;;
NVIDIA GeForce GTS 350M;GPU;2010-01-07;400;280;1440;7270;5000;TSMC;NVIDIA;;240.0;
NVIDIA GeForce RTX 2060 SUPER;GPU;2019-07-09;120;1750;4450;108000;14700;TSMC;NVIDIA;14360.0;7181.0;224.4
Intel HD Graphics 3000;GPU;2011-02-01;320;;2160;11600;6500;Intel;Intel;;249.6;
AMD FirePro S9050;GPU;2014-08-07;280;2250;3520;43130;9000;TSMC;AMD;;3226.0;806.4
NVIDIA GeForce RTX 2080 Mobile;GPU;2019-01-29;120;1500;5450;136000;13800;TSMC;NVIDIA;18720.0;9362.0;292.6
NVIDIA GeForce GTX 660 Ti;GPU;2012-08-16;280;1500;2940;35400;9150;TSMC;NVIDIA;;2634.0;109.8
ATI Radeon X1650 GTO;GPU;2007-12-02;900;;1500;1570;5870;TSMC;ATI;;;
NVIDIA GeForce Go 7400;GPU;2006-02-01;900;;810;1120;4500;TSMC;NVIDIA;;;
ATI FireGL V8650;GPU;2007-05-14;800;;4200;7200;6880;TSMC;ATI;;440.3;
AMD Radeon R9 280X;GPU;2013-10-08;280;2500;3520;43130;8500;TSMC;AMD;;4096.0;1024.0
AMD Radeon RX 560D;GPU;2017-07-04;140;650;1230;30000;10900;GF;AMD;2106.0;2106.0;131.6
AMD Radeon R9 255 OEM;GPU;2013-12-21;280;650;1230;15000;9000;TSMC;AMD;;952.3;59.52
AMD FirePro S4000X;GPU;2014-08-07;280;450;1230;15000;7250;TSMC;AMD;;992.0;62.0
NVIDIA GeForce 6200 LE;GPU;2005-04-04;1100;;1100;750;3500;TSMC;NVIDIA;;;
NVIDIA Quadro M2000M;GPU;2015-12-03;280;550;1480;18700;10290;TSMC;NVIDIA;;1405.0;43.92
AMD Radeon RX 560X Mobile;GPU;2018-04-11;140;650;1230;30000;11750;GF;AMD;2462.0;2462.0;153.9
NVIDIA GeForce Go 7600;GPU;2006-03-01;900;;1250;1770;4500;TSMC;NVIDIA;;;
AMD Radeon HD 7950 Mac Edition;GPU;2013-03-07;280;2000;3520;43130;8000;TSMC;AMD;;2867.0;716.8
NVIDIA GeForce 315 OEM;GPU;2011-02-22;400;330;570;2600;5890;TSMC;NVIDIA;;44.86;
NVIDIA GeForce FX 5600 Ultra;GPU;2003-03-17;1300;;1210;800;4000;TSMC;NVIDIA;;;
NVIDIA GeForce 800A;GPU;2014-03-17;400;150;790;2920;4750;TSMC;NVIDIA;;91.2;7.6
ATI FirePro V3750;GPU;2008-09-11;550;480;1460;5140;5500;TSMC;ATI;;352.0;
NVIDIA GeForce 710M;GPU;2013-01-09;280;150;1160;5850;7750;TSMC;NVIDIA;;297.6;24.8
AMD Radeon Pro W5700X;GPU;2019-12-11;70;2050;2510;103000;12430;TSMC;AMD;20890.0;10440.0;652.8
NVIDIA GeForce FX 5800 Ultra;GPU;2003-03-06;1300;;1990;1250;5000;TSMC;NVIDIA;;;
AMD Radeon HD 7870 XT;GPU;2012-11-19;280;1850;3520;43130;9250;TSMC;AMD;;2995.0;748.8
AMD Radeon HD 6470M;GPU;2011-01-04;400;250;670;3700;7000;TSMC;AMD;;224.0;
NVIDIA GeForce4 Ti 4200;GPU;2002-02-06;1500;;1420;630;2500;TSMC;NVIDIA;;;
AMD Radeon R7 M350;GPU;2015-01-01;280;350;770;9500;7250;TSMC;AMD;;633.6;
AMD FirePro W7170M;GPU;2015-10-02;280;1000;3660;50000;7230;TSMC;AMD;2961.0;2961.0;185.1
AMD Radeon R5 M430;GPU;2016-01-01;280;;560;6900;7800;TSMC;AMD;;547.2;
AMD Radeon R9 380X;GPU;2015-11-19;280;1900;3660;50000;9700;TSMC;AMD;3973.0;3973.0;248.3
ATI FirePro V5800 DVI;GPU;2010-04-26;400;740;1660;10400;6900;TSMC;ATI;;1104.0;
NVIDIA GeForce 410M;GPU;2011-01-05;400;120;790;2920;5740;TSMC;NVIDIA;;110.1;9.176
NVIDIA GeForce 8600M GT;GPU;2007-05-01;800;200;1690;2890;4750;TSMC;NVIDIA;;60.8;
NVIDIA Quadro FX 2500M;GPU;2005-09-29;900;450;1960;2780;5000;TSMC;NVIDIA;;;
NVIDIA Quadro4 500 Go GL;GPU;2002-04-23;1500;;650;290;2200;TSMC;NVIDIA;;;
AMD Radeon Instinct MI8;GPU;2016-12-12;280;1750;5960;89000;10000;TSMC;AMD;8192.0;8192.0;512.0
NVIDIA GeForce GT 130 Mac Edition;GPU;2008-12-12;550;750;1960;5050;6000;TSMC;NVIDIA;;144.0;
AMD Radeon RX 580 2048SP;GPU;2018-10-15;140;1500;2320;57000;11680;GF;AMD;5259.0;5259.0;328.7
Intel UHD Graphics G4;GPU;2020-05-28;100;150;;;2000;Intel;Intel;768.0;384.0;96.0
AMD Radeon RX 570 Mobile;GPU;2017-12-10;140;850;2320;57000;9260;GF;AMD;4940.0;4940.0;308.7
AMD Radeon R9 M295X Mac Edition;GPU;2014-11-23;280;2500;3660;50000;8500;TSMC;AMD;3482.0;3482.0;217.6
NVIDIA Quadro4 580 XGL;GPU;2002-11-12;1500;;650;290;3000;TSMC;NVIDIA;;;
NVIDIA Quadro2 Go;GPU;2001-08-14;1800;;640;200;1430;TSMC;NVIDIA;;;
AMD Radeon RX 5500 OEM;GPU;2019-10-07;70;1100;1580;64000;15000;TSMC;AMD;10390.0;5196.0;324.7
NVIDIA GeForce GTX 660 Rev. 2;GPU;2014-09-13;280;1400;2940;35400;9800;TSMC;NVIDIA;;1981.0;82.56
NVIDIA Quadro K420;GPU;2014-07-22;280;410;1180;12700;8760;TSMC;NVIDIA;;336.4;14.02
NVIDIA GeForce 9500 GT Rev. 3;GPU;2008-07-29;550;500;1210;3140;5500;TSMC;NVIDIA;;89.6;
NVIDIA GeForce2 MX 200;GPU;2001-03-03;1800;;640;200;1750;TSMC;NVIDIA;;;
ATI Radeon HD 3870;GPU;2007-11-19;550;1060;1920;6660;7770;TSMC;ATI;;497.3;99.46
NVIDIA GeForce GTX 1050 3 GB;GPU;2018-05-21;140;750;1320;33000;13920;Samsung;NVIDIA;36.43;2332.0;72.86
NVIDIA GeForce4 Ti 4800;GPU;2003-03-15;1500;;1010;360;3000;TSMC;NVIDIA;;;
NVIDIA GeForce 8400 GS Rev. 2;GPU;2007-12-04;650;250;860;2100;5670;TSMC;NVIDIA;;22.4;
ATI Radeon HD 4850 X2;GPU;2008-11-07;550;2500;2560;9560;6250;TSMC;ATI;;1000.0;200.0
NVIDIA GeForce 7050 + nForce 610i;GPU;2008-01-13;900;;810;1120;5000;Unknown;NVIDIA;;;
Intel i852GM Graphics;GPU;2003-12-03;1300;;;;2000;Intel;Intel;;;
NVIDIA Quadro NVS 280 PCI;GPU;2003-10-28;1500;130;910;450;2750;TSMC;NVIDIA;;;
Intel Iris Xe Graphics G7 80EU;GPU;2020-09-02;100;150;1460;;3000;Intel;Intel;2816.0;1408.0;352.0
AMD Radeon R9 M270X;GPU;2014-03-21;280;;1230;15000;7250;TSMC;AMD;;992.0;
AMD Radeon Pro Vega 20;GPU;2018-11-14;140;1000;;;8150;GF;AMD;6569.0;3284.0;205.3
Intel UHD Graphics 630;GPU;2017-09-01;140;150;;;3500;Intel;Intel;806.4;403.2;100.8
ATI All-In-Wonder Radeon 7200;GPU;2000-07-31;1800;;1110;300;1660;TSMC;ATI;;;
NVIDIA GeForce 8700M GT;GPU;2007-06-01;800;290;1690;2890;6250;TSMC;NVIDIA;;80.0;
Intel HD Graphics 5000;GPU;2013-05-27;220;300;1810;13000;2000;Intel;Intel;;640.0;160.0
NVIDIA Quadro P2000;GPU;2017-02-06;160;750;2000;44000;10760;TSMC;NVIDIA;47.36;3031.0;94.72
AMD Radeon Pro WX 4170 Mobile;GPU;2017-03-01;140;500;1230;30000;10020;GF;AMD;2460.0;2460.0;153.7
NVIDIA GeForce 9600 GS OEM;GPU;2008-07-29;650;;2400;5050;5000;TSMC;NVIDIA;;120.0;
NVIDIA GeForce GTX 560 OEM;GPU;2011-11-29;400;1500;5200;30000;5520;TSMC;NVIDIA;;847.9;106.0
NVIDIA Quadro M4000M;GPU;2015-08-18;280;1000;3980;52000;9750;TSMC;NVIDIA;;2496.0;78.0
ATI FirePro M7820;GPU;2010-05-01;400;500;1660;10400;7000;TSMC;ATI;;1120.0;
NVIDIA GeForce GT 1010;GPU;2021-01-13;140;300;740;18000;12280;Samsung;NVIDIA;;751.6;31.32
ATI Radeon HD 3200 IGP;GPU;2008-03-04;650;;850;1800;5000;Unknown;ATI;;40.0;
AMD Radeon R7 M440;GPU;2016-05-15;280;;1250;15500;8910;TSMC;AMD;570.2;570.2;35.64
ATI Radeon IGP 340M;GPU;2002-10-05;1800;;730;300;1830;Unknown;ATI;;;
NVIDIA GeForce 7800 GS 24Pipes AGP;GPU;2006-02-02;1100;750;3330;3020;4250;TSMC;NVIDIA;;;
AMD Radeon R7 340 OEM;GPU;2015-05-05;280;500;770;9500;7300;TSMC;AMD;;599.0;37.44
AMD Radeon HD 7750;GPU;2012-02-15;280;550;1230;15000;8000;TSMC;AMD;;819.2;51.2
NVIDIA GeForce 7800 GT;GPU;2005-08-11;1100;650;3330;3020;4000;TSMC;NVIDIA;;;
NVIDIA GeForce 840A;GPU;2014-03-17;280;330;;;10290;TSMC;NVIDIA;;863.2;26.98
NVIDIA Quadro GP100;GPU;2016-10-01;160;2350;6100;153000;13040;TSMC;NVIDIA;20670.0;10340.0;5168.0
ATI Radeon HD 5530;GPU;2011-03-17;400;190;590;2920;6500;TSMC;ATI;;104.0;
NVIDIA GeForce FX 5200 Ultra Mac Edition;GPU;2003-03-06;1500;;1240;450;3250;TSMC;NVIDIA;;;
NVIDIA Tesla M60;GPU;2015-08-30;280;3000;3980;52000;5570;TSMC;NVIDIA;;4825.0;150.8
ATI Xbox 360 E GPU;GPU;2013-06-10;450;1200;1680;3720;5000;TSMC;ATI;;240.0;
NVIDIA GeForce PCX 5750;GPU;2004-02-17;1300;500;1250;820;4250;TSMC;NVIDIA;;;
NVIDIA GeForce 9400 GT Rev. 3;GPU;2012-06-13;400;500;570;2600;5890;TSMC;NVIDIA;;44.86;
AMD Radeon Graphics 448SP;GPU;2020-01-06;70;150;1560;98000;4000;TSMC;AMD;2867.0;1434.0;89.6
NVIDIA Quadro FX 1000;GPU;2003-01-21;1300;;1990;1250;3000;TSMC;NVIDIA;;;
AMD Radeon R5 A330;GPU;2015-10-21;280;;560;6900;10300;TSMC;AMD;;659.2;
ATI Radeon 9550;GPU;2003-10-01;1300;;760;600;2500;TSMC;ATI;;;
NVIDIA Quadro K510M;GPU;2013-07-23;280;300;870;10200;8890;TSMC;NVIDIA;;341.4;14.22
AMD Radeon HD 8740 OEM;GPU;2013-09-05;280;550;1230;15000;8000;TSMC;AMD;;819.2;51.2
NVIDIA GeForce 6800 Ultra;GPU;2004-07-26;1300;810;2870;2220;4250;TSMC;NVIDIA;;;
AMD Radeon HD 8370D IGP;GPU;NaT;320;650;2460;13030;7600;TSMC;AMD;;194.6;
NVIDIA Quadro FX 370 LP;GPU;2008-11-06;650;250;860;2100;5400;TSMC;NVIDIA;;17.28;
NVIDIA GeForce 7150 + nForce 630i;GPU;2007-11-16;900;;810;1120;6300;Unknown;NVIDIA;;;
AMD Radeon HD 8670A;GPU;2013-02-02;280;450;560;6900;6000;TSMC;AMD;;384.0;24.0
NVIDIA GeForce GT 740A;GPU;2013-08-26;280;330;870;10200;9800;TSMC;NVIDIA;;752.6;31.36
AMD Radeon HD 6950;GPU;2010-12-14;400;2000;3890;26400;8000;TSMC;AMD;;2253.0;563.2
ATI Fire GL3;GPU;2000-06-01;;;1560;;1200;IBM;ATI;;;
ATI Radeon DDR;GPU;2000-04-01;1800;230;1150;300;1660;TSMC;ATI;;;
NVIDIA Tesla K40m;GPU;2013-11-22;280;2450;5610;70800;7450;TSMC;NVIDIA;;5046.0;1682.0
NVIDIA GeForce RTX 2070 SUPER Max-Q;GPU;2020-04-02;120;800;5450;136000;9300;TSMC;NVIDIA;11830.0;5914.0;184.8
NVIDIA GeForce 510 OEM;GPU;2011-09-29;400;250;790;2920;5230;TSMC;NVIDIA;;100.4;8.368
NVIDIA Quadro 5000 SDI;GPU;2011-02-23;400;1720;5290;31000;5130;TSMC;NVIDIA;;722.3;361.2
AMD Radeon HD 7660G IGP;GPU;2012-05-15;320;350;2460;13030;6860;TSMC;AMD;;526.8;
NVIDIA GeForce G105M;GPU;2009-07-16;400;140;570;2600;5000;TSMC;NVIDIA;;34.24;
NVIDIA Tesla P100 PCIe 16 GB;GPU;2016-06-20;160;2500;6100;153000;11900;TSMC;NVIDIA;19050.0;9526.0;4763.0
ATI Radeon HD 4730 OEM;GPU;2008-12-26;550;1100;1920;6660;6690;TSMC;ATI;;428.2;85.63
ATI FirePro V5800;GPU;2010-04-26;400;740;1660;10400;6900;TSMC;ATI;;1104.0;
NVIDIA GeForce GT 745M;GPU;2013-04-01;280;450;1180;12700;8370;TSMC;NVIDIA;;642.8;26.78
AMD FirePro 2270;GPU;2011-01-31;400;150;590;2920;6000;TSMC;AMD;;96.0;
3dfx Voodoo5 5000 PCI;GPU;NaT;2500;300;1120;140;1660;TSMC;Other;;;
AMD Radeon R5 M230 Rebrand;GPU;2013-03-01;280;;560;6900;7500;TSMC;AMD;;528.0;33.0
NVIDIA GeForce FX 5100;GPU;2003-03-06;1500;;1240;450;2000;TSMC;NVIDIA;;;
Intel i830M Graphics;GPU;2001-01-01;1500;;;;1660;Intel;Intel;;;
NVIDIA Quadro P2000 Mobile;GPU;2019-02-15;160;750;2000;44000;12910;TSMC;NVIDIA;46.48;2974.0;92.95
NVIDIA GeForce Go 6100 + nForce Go 430;GPU;2006-02-01;900;;;;4250;Unknown;NVIDIA;;;
Intel GMA;GPU;2010-05-04;320;;;;5330;Intel;Intel;;;
NVIDIA Quadro FX 4800 Mac Edition;GPU;2008-11-11;550;1500;4700;14000;6020;TSMC;NVIDIA;;462.3;57.79
NVIDIA GeForce GTX 570;GPU;2010-12-07;400;2190;5200;30000;7320;TSMC;NVIDIA;;1405.0;175.7
NVIDIA GeForce 845M;GPU;2015-02-07;280;450;1480;18700;8630;TSMC;NVIDIA;;883.7;27.62
NVIDIA GeForce GTX 295;GPU;2009-01-08;;2890;4700;14000;5760;TSMC;NVIDIA;;596.2;74.52
AMD Radeon HD 6450A;GPU;2011-04-07;400;250;670;3700;6250;TSMC;AMD;;200.0;
NVIDIA GeForce GT 320M;GPU;2009-06-15;550;140;1210;3140;5000;TSMC;NVIDIA;;80.0;
NVIDIA GeForce 7950 GX2;GPU;2006-06-05;900;1100;1960;2780;5000;TSMC;NVIDIA;;;
NVIDIA GeForce GTX 460 X2;GPU;2011-03-11;400;1600;3320;19500;7010;TSMC;NVIDIA;;941.5;78.46
ATI Mobility Radeon HD 4830;GPU;2009-03-03;400;;1370;8260;5500;TSMC;ATI;;704.0;140.8
AMD Radeon Vega 6 Mobile;GPU;2018-01-08;140;150;2100;49400;3000;GF;AMD;1691.0;845.6;52.85
NVIDIA GeForce 8600M GS;GPU;2007-05-01;800;200;1270;2100;4500;TSMC;NVIDIA;;28.8;
ATI Wii GPU;GPU;2006-11-19;900;450;950;1070;2430;NEC;ATI;;;
AMD Radeon HD 7670M Rebrand;GPU;2012-07-01;400;200;1040;7160;6000;TSMC;AMD;;576.0;
AMD Radeon HD 6970M Mac Edition;GPU;2011-08-25;400;750;2120;17000;6800;TSMC;AMD;;1306.0;
ATI Mobility Radeon X200 IGP;GPU;2005-01-01;1100;;740;1070;3000;Unknown;ATI;;;
ATI Radeon HD 2600 XT AGP;GPU;2007-06-28;550;450;1350;3780;7220;TSMC;ATI;;173.3;
ATI Mobility Radeon HD 3670;GPU;2008-01-07;550;300;1350;3780;6800;TSMC;ATI;;163.2;
NVIDIA GeForce GT 520;GPU;2011-04-13;400;290;790;2920;8100;TSMC;NVIDIA;;155.5;12.96
AMD FirePro M6100;GPU;2013-10-16;280;;1600;20800;10750;TSMC;AMD;;1651.0;103.2
AMD Radeon R9 M380 Mac Edition;GPU;2015-05-05;280;;1600;20800;9000;TSMC;AMD;;1568.0;98.02
AMD Radeon Pro WX 8200;GPU;2018-08-13;140;2300;4950;125000;12000;GF;AMD;21500.0;10750.0;672.0
NVIDIA Quadro FX 1800;GPU;2009-03-30;650;590;2400;5050;5500;TSMC;NVIDIA;;176.0;
ATI Radeon X1650;GPU;2007-02-01;900;;1500;1570;5000;TSMC;ATI;;;
NVIDIA GeForce FX Go5650;GPU;2003-03-01;1300;;1210;800;3250;TSMC;NVIDIA;;;
ATI Radeon HD 2600 PRO AGP;GPU;2007-06-28;650;350;1530;3900;5940;TSMC;ATI;;142.6;
AMD Radeon HD 8280 Mobile IGP;GPU;2013-09-18;280;150;1100;11780;4500;TSMC;AMD;;115.2;7.2
